SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,16-00017936,01/02/2016,Front,,Open,FRONT-SIDE AND REAR,Vacant,false,true,5930,S,CARPENTER,ST,60621,1170327.40741233,1865488.12026718,16,7,68,41.78638640364335,-87.65103294840148,"(41.78638640364335, -87.65103294840148)"
Vacant/Abandoned Building,16-00027497,01/03/2016,Front,,Open,,Vacant,false,false,3559,W,63RD,ST,60629,1153522.334317,1862607.90712024,23,8,66,41.778832091928,-87.7127256067861,"(41.778832091928, -87.7127256067861)"
Vacant/Abandoned Building,16-00035418,01/03/2016,Front,,Open,"CALLER DOESN'T KNOW THE EXACT ADDRESS, CALLER STATES ITS THE HOUSE FURTHEST SOUTH ON THE 5900 BLOCK OF JUSTINE.... DOOR MISSING IN THE REAR 	",Vacant,false,false,5900,S,JUSTINE,ST,60636,1167017.14128109,1865599.79596577,16,7,67,41.786764299374006,-87.66316688619024,"(41.786764299374006, -87.66316688619024)"
Vacant/Abandoned Building,16-00031311,01/03/2016,Front,,Open,FRONT ENTRY,Vacant,false,false,8356,S,KERFOOT,AVE,60620,1173188.13321194,1849429.83710965,21,6,71,41.74225776568885,-87.64101798247111,"(41.74225776568885, -87.64101798247111)"
Vacant/Abandoned Building,16-00035051,01/03/2016,Rear,,Open,REAR,Vacant,false,false,8112,S,MAY,ST,60620,1170063.35251246,1851006.97749826,21,6,71,41.74665406968148,-87.65242142853317,"(41.74665406968148, -87.65242142853317)"
Vacant/Abandoned Building,16-00056596,01/04/2016,Front,,Open,,Vacant,false,false,402,E,61ST,ST,60637,1179989.51732123,1864655.46147518,20,3,42,41.78388564277491,-87.61563244911125,"(41.78388564277491, -87.61563244911125)"
Vacant/Abandoned Building,16-00054380,01/04/2016,Front,,Open,,Vacant,false,true,12435,S,EMERALD,AVE,60628,1173579.03876658,1822403.8790327,34,5,53,41.66808588888048,-87.64038251498134,"(41.66808588888048, -87.64038251498134)"
Vacant/Abandoned Building,16-00062202,01/04/2016,Front,,Open,FRONT DOOR OPEN,Vacant,false,false,1626,N,NAGLE,AVE,60707,1133056.54010071,1910124.36709328,29,25,25,41.9096055811526,-87.78664751486437,"(41.9096055811526, -87.78664751486437)"
Vacant/Abandoned Building,16-00052007,01/04/2016,,,,,,,,11742,S,YALE,AVE,60628,1176719.30340637,1827073.00198779,34,5,53,41.6808288273904,-87.62875014237845,"(41.6808288273904, -87.62875014237845)"
Vacant/Abandoned Building,16-00055970,01/04/2016,Front,,Open,,Vacant,false,true,6833,S,CALUMET,AVE,60637,1179657.56597256,1859781.98248116,20,3,69,41.770519924959366,-87.61699833276981,"(41.770519924959366, -87.61699833276981)"
Vacant/Abandoned Building,16-00066354,01/04/2016,Front,,Open,,Vacant,false,true,8122,S,SACRAMENTO,AVE,60652,1157791.03017249,1850610.63908375,18,8,70,41.745824149949684,-87.69740124886198,"(41.745824149949684, -87.69740124886198)"
Vacant/Abandoned Building,16-00052181,01/04/2016,Front,,Open,ALL ENTRIES,Vacant,false,false,8001,S,HOUSTON,AVE,60617,1197881.1100338,1852497.77999537,7,4,46,41.75009566582816,-87.55044229412594,"(41.75009566582816, -87.55044229412594)"
Vacant/Abandoned Building,16-00059401,01/04/2016,Rear,,Open,REAR,Vacant,false,true,739,E,87TH,PL,60619,1182691.2823132,1847124.27428191,8,6,44,41.73571596730309,-87.60627013392674,"(41.73571596730309, -87.60627013392674)"
Vacant/Abandoned Building,16-00048710,01/04/2016,Front,,Open,ATTIC WINDOW OUT,Vacant,false,false,3022,N,LOTUS,AVE,60641,1139510.67393398,1919559.14391901,31,25,19,41.93538031091212,-87.76270677785416,"(41.93538031091212, -87.76270677785416)"
Vacant/Abandoned Building,16-00070738,01/05/2016,Front,,Open,,Vacant,false,false,5632,S,MARSHFIELD,AVE,60636,1166302.97997083,1867358.06789251,16,7,67,41.79160445882048,-87.66573532592452,"(41.79160445882048, -87.66573532592452)"
Vacant/Abandoned Building,16-00075096,01/05/2016,Front,,Open,,Vacant,false,false,2002,W,69TH,PL,60636,1164211.53231873,1858569.80010064,17,7,67,41.76753260571412,-87.67365149660664,"(41.76753260571412, -87.67365149660664)"
Vacant/Abandoned Building,16-00071529,01/05/2016,Garage,,Open,,Vacant,false,true,4628,S,DREXEL,BLVD,60653,1182969.27122673,1874511.04999268,4,2,39,41.81086142604243,-87.60440128480965,"(41.81086142604243, -87.60440128480965)"
Vacant/Abandoned Building,16-00079217,01/05/2016,Front,,Open,FRONT,Vacant,false,false,2243,W,71ST,ST,60636,1162551.28610429,1857540.72192525,18,8,66,41.76474345100749,-87.67976571002397,"(41.76474345100749, -87.67976571002397)"
Vacant/Abandoned Building,16-00075728,01/05/2016,Rear,,Open,,Vacant,false,true,7148,S,WOLCOTT,AVE,60636,1164923.47451347,1857269.99927963,17,7,67,41.76395076061212,-87.6710785925552,"(41.76395076061212, -87.6710785925552)"
Vacant/Abandoned Building,16-00070191,01/05/2016,Rear,,Open,REAR,Vacant,false,false,5532,S,CARPENTER,ST,60621,1170259.05988372,1868037.02242625,16,7,68,41.79338237039226,-87.65120939647423,"(41.79338237039226, -87.65120939647423)"
Vacant/Abandoned Building,16-00076128,01/05/2016,Rear,,Open,"BASEMENT DOOR KICKED IN, AND BACK DOOR OPEN",Vacant,false,true,6600,S,CALIFORNIA,AVE,60629,1158847.99070502,1860753.88768834,17,8,66,41.77363726520389,-87.69325175636618,"(41.77363726520389, -87.69325175636618)"
Vacant/Abandoned Building,16-00077785,01/05/2016,Front,,Open,ALL WINDOWS AND DOORS,Vacant,false,true,6422,S,TROY,ST,60629,1156491.4517323,1861874.55761859,17,8,66,41.776760355232966,-87.7018602257277,"(41.776760355232966, -87.7018602257277)"
Vacant/Abandoned Building,16-00079017,01/05/2016,Front,,Open,REAR,Vacant,false,true,2214,S,KIRKLAND,AVE,60623,1147696.38960339,1888918.74116816,22,10,29,41.85114626796491,-87.73341086666944,"(41.85114626796491, -87.73341086666944)"
Vacant/Abandoned Building,16-00080266,01/05/2016,,,,,,,,5521,W,VAN BUREN,ST,60644,1139777.88899149,1897469.50648036,29,15,25,41.87475887332515,-87.76226517579431,"(41.87475887332515, -87.76226517579431)"
Vacant/Abandoned Building,16-00085298,01/05/2016,Front,,Open,FRONT DOOR AND WILD LIFE INFESTATION,Vacant,false,false,10819,S,PRAIRIE,AVE,60628,1179834.36482407,1833279.58208645,9,5,49,41.697790096049715,-87.6171586308363,"(41.697790096049715, -87.6171586308363)"
Vacant/Abandoned Building,16-00070204,01/05/2016,Front,,Open,FRONT AND REAR,Vacant,false,false,5524,S,CARPENTER,ST,60621,1170257.85988372,1868079.82242625,16,7,68,41.79349984453545,-87.65121255147515,"(41.79349984453545, -87.65121255147515)"
Vacant/Abandoned Building,16-00070207,01/05/2016,Rear,,Open,RER,Vacant,false,false,5538,S,CARPENTER,ST,60621,1170259.95988372,1868005.02242625,16,7,68,41.793294539194534,-87.65120702731967,"(41.793294539194534, -87.65120702731967)"
Vacant/Abandoned Building,16-00071197,01/05/2016,,,,,,,,4113,W,GLADYS,AVE,60624,1149027.4921275,1898037.32838877,28,11,26,41.876143147150856,-87.72828951206549,"(41.876143147150856, -87.72828951206549)"
Vacant/Abandoned Building,16-00079801,01/05/2016,Front,,Open,FRONT DOOR,Vacant,false,true,2208,N,LAVERGNE,AVE,60639,1142697.05311444,1914219.64847612,36,25,19,41.92066940174341,-87.7511297599239,"(41.92066940174341, -87.7511297599239)"
Vacant/Abandoned Building,16-00087785,01/06/2016,Front,,Open,,Vacant,false,false,8534,S,MARQUETTE,AVE,60617,1195641.96262672,1848907.83611202,7,4,46,41.740300191697436,-87.55876575564359,"(41.740300191697436, -87.55876575564359)"
Vacant/Abandoned Building,16-00087789,01/06/2016,Front,,Open,,Vacant,false,false,8538,S,MARQUETTE,AVE,60617,1195642.46262672,1848881.03611202,7,4,46,41.740226637961634,-87.55876480752293,"(41.740226637961634, -87.55876480752293)"
Vacant/Abandoned Building,16-00088246,01/06/2016,Front,,Open,,Vacant,false,false,13220,S,FORRESTVILLE,AVE,60827,1182322.12037867,1817726.90962015,9,5,54,41.65505420756836,-87.60852888560494,"(41.65505420756836, -87.60852888560494)"
Vacant/Abandoned Building,16-00088268,01/06/2016,Front,,Boarded,,Occupied,true,true,4047,W,WILCOX,ST,60624,1149434.05756937,1899028.5821832,28,11,26,41.878855385224036,-87.72677101006448,"(41.878855385224036, -87.72677101006448)"
Vacant/Abandoned Building,16-00089978,01/06/2016,Front,,Open,,Vacant,false,false,4507,W,MAYPOLE,AVE,60624,1146269.73047249,1901075.80837764,28,11,26,41.884533993201984,-87.73833781652817,"(41.884533993201984, -87.73833781652817)"
Vacant/Abandoned Building,16-00092468,01/06/2016,Front,,Open,,Vacant,false,false,7156,S,MAY,ST,60621,1169889.68981958,1857343.00058991,6,7,68,41.764044721217076,-87.65287414111837,"(41.764044721217076, -87.65287414111837)"
Vacant/Abandoned Building,16-00096030,01/06/2016,,,,,,,,4132,W,25TH,PL,60623,1149348.42737387,1886737.54542446,22,10,30,41.84512895755504,-87.72740394877303,"(41.84512895755504, -87.72740394877303)"
Vacant/Abandoned Building,16-00096763,01/06/2016,Front,,Open,,Vacant,false,false,115,E,71ST,ST,60619,1178458.22741408,1857973.4824261,6,3,69,41.765584534022736,-87.62144946912403,"(41.765584534022736, -87.62144946912403)"
Vacant/Abandoned Building,16-00096211,01/06/2016,,,,,,,,4910,S,PAULINA,ST,60609,1165840.19449633,1872113.64182006,20,9,61,41.80466417037069,-87.66729716283467,"(41.80466417037069, -87.66729716283467)"
Vacant/Abandoned Building,16-00096515,01/06/2016,,,,,,,,1322,W,GRAND,AVE,60642,1167723.88002166,1903610.47100032,1,12,24,41.89105408408395,-87.65948221872375,"(41.89105408408395, -87.65948221872375)"
Vacant/Abandoned Building,16-00088772,01/06/2016,,,,,,,,6348,S,EGGLESTON,AVE,60621,1174367.97351635,1862754.55037041,20,7,68,41.778796246393235,-87.63629947266944,"(41.778796246393235, -87.63629947266944)"
Vacant/Abandoned Building,16-00092480,01/06/2016,Rear,,Open,OPE,Vacant,false,false,2650,E,77TH,ST,60649,1195327.74507587,1854423.3930192,7,4,43,41.755443068514694,-87.55973530280912,"(41.755443068514694, -87.55973530280912)"
Vacant/Abandoned Building,16-00095632,01/06/2016,Garage,,Open,"FRONT/REAR DOORS, WINDOWS AND GARAGE",Vacant,false,false,941,W,116TH,PL,60643,1172035.97999798,1827593.28998665,34,5,53,41.682360404140205,-87.64587824795962,"(41.682360404140205, -87.64587824795962)"
Vacant/Abandoned Building,16-00098033,01/06/2016,Front,,Open,ALL AROUND,Vacant,false,true,6327,S,HONORE,ST,60636,1165100.94618492,1862710.82569224,15,7,67,41.77887736516852,-87.67027437289948,"(41.77887736516852, -87.67027437289948)"
Vacant/Abandoned Building,16-00093736,01/06/2016,Rear,,Open,,Vacant,false,false,27,E,101ST,ST,60628,1178305.4289718,1838015.6942027,9,5,49,41.710821394959645,-87.6226136319003,"(41.710821394959645, -87.6226136319003)"
Vacant/Abandoned Building,16-00106060,01/07/2016,Front,,Open,,Occupied,false,false,9229,S,BALTIMORE,AVE,60617,1198501.86792552,1844357.68562194,10,4,46,41.72774311098415,-87.54843966445799,"(41.72774311098415, -87.54843966445799)"
Vacant/Abandoned Building,16-00107529,01/07/2016,Front,,Open,FRONT,Vacant,false,false,6300,S,CENTRAL PARK,AVE,60629,1153522.334317,1862607.90712024,23,8,66,41.778832091928,-87.7127256067861,"(41.778832091928, -87.7127256067861)"
Vacant/Abandoned Building,16-00119742,01/07/2016,Front,,Open,SIDE: ON KEELER AVE,Vacant,false,false,4159,W,ADAMS,ST,60624,1148696.00607873,1898686.24009933,28,11,26,41.87793024109454,-87.72948986239822,"(41.87793024109454, -87.72948986239822)"
Vacant/Abandoned Building,16-00105825,01/07/2016,Front,,Open,,Vacant,false,true,5354,S,ABERDEEN,ST,60609,1169891.95418736,1869298.24068776,20,9,61,41.79685128042193,-87.65251891142334,"(41.79685128042193, -87.65251891142334)"
Vacant/Abandoned Building,16-00125311,01/07/2016,Rear,,Open,REAR,Vacant,false,false,1221,W,107TH,PL,60643,1170059.72622899,1833488.33382526,34,22,75,41.69858040993363,-87.65294206418864,"(41.69858040993363, -87.65294206418864)"
Vacant/Abandoned Building,16-00113764,01/07/2016,Front,,Open,,Vacant,false,false,7112,S,GREENWOOD,AVE,60619,1184782.80007939,1858054.24732582,5,3,69,41.76566018369056,-87.59826558497856,"(41.76566018369056, -87.59826558497856)"
Vacant/Abandoned Building,16-00111599,01/07/2016,,,,,,,,1116,N,HAMLIN,AVE,60651,1150843.45158533,1907175.35566641,27,11,23,41.901183531416734,-87.72138260843319,"(41.901183531416734, -87.72138260843319)"
Vacant/Abandoned Building,16-00114038,01/07/2016,Rear,,Open,,Vacant,false,true,7450,N,SACRAMENTO,AVE,60645,1155170.40849107,1949320.75730198,50,24,2,42.01674735614551,-87.70435296435639,"(42.01674735614551, -87.70435296435639)"
Vacant/Abandoned Building,16-00115995,01/07/2016,Front,,Open,"FRONT/REAR DOORS, WINDOWS",Vacant,false,true,11149,S,NORMAL,AVE,60628,1174950.87708435,1830963.43307811,34,22,49,41.69154427540504,-87.63510803353336,"(41.69154427540504, -87.63510803353336)"
Vacant/Abandoned Building,16-00113732,01/07/2016,Rear,,Open,SIDE AND BACK,Occupied,false,true,1744,W,21ST,PL,60608,1165073.08267246,1889788.23768115,25,12,31,41.85318141281112,-87.6696097767547,"(41.85318141281112, -87.6696097767547)"
Vacant/Abandoned Building,16-00128339,01/08/2016,Front,,Open,,Vacant,false,false,9229,S,BALTIMORE,AVE,60617,1198501.86792552,1844357.68562194,10,4,46,41.72774311098415,-87.54843966445799,"(41.72774311098415, -87.54843966445799)"
Vacant/Abandoned Building,16-00131902,01/08/2016,,,,,,,,6558,S,JUSTINE,ST,60636,1167134.68601654,1861234.515302,16,7,67,41.774782907987664,-87.66286070139739,"(41.774782907987664, -87.66286070139739)"
Vacant/Abandoned Building,16-00140038,01/08/2016,,,,,,,,6729,S,LANGLEY,AVE,60637,1182050.65556946,1860547.7651308,20,3,42,41.77256627757653,-87.60820262919815,"(41.77256627757653, -87.60820262919815)"
Vacant/Abandoned Building,16-00134305,01/08/2016,Rear,,Open,,Vacant,true,false,7146,S,INGLESIDE,AVE,60619,1183794.80999059,1857814.51077973,5,3,69,41.76502543551235,-87.60189432248222,"(41.76502543551235, -87.60189432248222)"
Vacant/Abandoned Building,16-00139787,01/08/2016,,,,,,,,7930,S,VERNON,AVE,60619,1180618.46249052,1852525.59928727,6,6,44,41.75058562339122,-87.61369861252703,"(41.75058562339122, -87.61369861252703)"
Vacant/Abandoned Building,16-00140342,01/08/2016,,,,,,,,9838,S,THROOP,ST,60643,1169394.83488021,1839427.6901957,21,22,73,41.71489332052385,-87.65520532114238,"(41.71489332052385, -87.65520532114238)"
